gen,best,mean,sigma,gravity,phase,elapsed_s
0,-323.9133528977115,-389.09182213032307,0.4903575825444946,-7.169982457527719,random,1.472249984741211
1,-313.2618875490743,-378.50788505794384,0.48179807367341976,-6.147782826891867,random,0.11237788200378418
2,-315.96164356256526,-372.7151328608649,0.47403656669279887,-7.884105522050993,random,0.12130188941955566
3,-309.74954293137534,-369.7871866562333,0.4671247210564009,-10.427052996295322,random,0.15263938903808594
4,-293.03111550632326,-353.1970529410471,0.46094840880343685,-9.27262464640203,random,0.14977383613586426
5,-257.21051325482415,-356.9137579626178,0.45547002134430464,-7.5342932001873,random,0.1671760082244873
6,-274.10061364925406,-348.76052681072025,0.45050023776764414,-11.37333611666918,random,0.1860828399658203
7,-284.3843625727616,-336.8173056213417,0.4459035853210028,-7.5445753180503115,random,0.20452475547790527
8,-282.9911283029336,-325.9496570297693,0.44178058566570594,-8.256305702734327,random,0.20308995246887207
9,-70.6901929621737,-317.87814798043934,0.43796583748458007,-9.15029940673507,random,0.2523939609527588
10,-240.31158663323583,-316.60483536220625,0.4343057745481837,-8.999306637890678,random,0.23929214477539062
11,-199.0872466098705,-309.44205413890614,0.43094022955844286,-8.923870826628528,random,0.22789692878723145
12,-237.41024617030175,-322.3217983114252,0.4279000749097085,-6.937673735074585,random,0.2815670967102051
13,-201.4189634498782,-319.8201952256192,0.42513588065828,-9.874119517481377,random,0.3300158977508545
14,-192.96750178749392,-315.45706545081964,0.42251741322808,-9.616282564820162,random,0.3149740695953369
15,24.95483508758397,-284.4799509273804,0.4201281558086364,-9.749135272559403,random,0.3710460662841797
16,-90.99917982615243,-296.4626545332725,0.41779718766097557,-8.950332413848233,random,0.3217740058898926
17,-57.2038010740485,-290.8369112556053,0.41556506174645924,-7.704521306515555,random,0.37123799324035645
18,-64.22927156125114,-240.2681477075745,0.4134864356190895,-11.829623181257492,random,0.44709181785583496
19,-77.11727046844656,-259.05532818635027,0.41156198060917226,-9.793301307192648,random,0.42443084716796875
