gravity,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
-6.0,291.5798708678643,1.350647334445718,0.8,0.36607985073918914,0.28996979540291634
-7.5,558.3364677403954,2.3480314356818526,0.5,0.15214489294128972,0.384293937352048
-9.81,590.3781412667755,2.7595987330290788,0.85,0.010826776598530555,0.4931888153508403
-11.0,546.7577917487022,2.690943676766337,1.0,0.009725605917310162,0.5253467634360606
-12.0,414.67902625483447,2.1586972500516604,1.0,0.009912852495826326,0.5018130049895302
