gravity,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
-6.0,-341.8126692444238,-0.13075660394054997,1.0,0.13076336305727226,2.913412380302419e-05
-7.5,-339.48460246654184,-0.13674370921487414,1.0,0.13674370921487414,0.0
-9.81,-342.6565155132524,-0.16775071401274996,1.0,0.1801436000075399,0.022463365622243235
-11.0,-342.9153715396409,-0.20571218755140866,1.0,0.23239303765244004,0.043887029753129705
-12.0,-338.7685273726251,-0.19348125432264718,1.0,0.2332880504327938,0.0858133835717085
