gravity,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
-6.0,266.82577739956514,0.9846297907196198,1.0,0.020145113708225096,0.1440057849489187
-7.5,268.79553855412615,0.9662959549386476,0.95,0.026141098974769555,0.13984581147319225
-9.81,277.4140611146132,0.9388399188111836,0.8,0.032239505987455404,0.13005629274461966
-11.0,239.24186935881326,0.7717931190044701,0.6,0.034132994019624545,0.10729377800554421
-12.0,218.24076049533664,0.7090534751292685,0.6,0.03695985425864237,0.1016408382641594
