gen,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
0,-379.8622607703958,-0.23210955580163645,1.0,0.23312361766643158,0.003889773570435205
10,-365.15943460257637,-0.14505182962312468,1.0,0.14638604832296853,0.008388337782255211
20,-352.2759772238495,-0.46301233183150414,1.0,0.49953818873270517,0.03127213479549521
30,-358.4842482481677,-0.2772014252017526,1.0,0.28308006982908385,0.010468111162621151
40,-431.6928524217603,-0.7169522127905141,1.0,0.7170280686679715,8.506232384587036e-05
50,-477.26958875583324,-0.8411634919028165,1.0,0.8464010710135538,0.007437823856464092
60,-273.95068981510343,-0.08160891859172621,1.0,0.2822831157870618,0.16879055020051847
70,-27.11755283797958,0.6297615358901126,1.0,0.2732657056096838,0.400691479034265
80,-32.52567657215702,0.8052538639198247,1.0,0.02887434059316233,0.5306181074227908
90,148.9074205223278,1.4077925704836316,1.0,0.0056189492704660044,0.7127699069467747
100,161.26815189032166,1.421176818999807,1.0,0.016862209799779804,0.6766119900420617
110,108.41940709957657,1.329595637940793,1.0,0.0036578607956619983,0.7811497512995624
120,215.19306078771191,1.7886720993276881,1.0,1.268082691713232e-05,1.0861743662300196
130,253.14774172592865,1.7476816307470204,1.0,0.005463758512274673,0.7025969351296767
140,403.26553813749285,2.540075959365666,1.0,0.0020613695807934745,0.9394525212823055
150,203.33875515704497,1.6519128498260252,1.0,0.008099161508293432,0.8367122199961191
160,-95.86924346422464,0.3180169346538634,1.0,0.551373337610823,0.3124786373587786
170,432.0008773200905,2.826792812237218,1.0,0.004934586016225507,1.0765316045288202
180,277.97214655401206,1.9865676187100554,1.0,0.006468676101721008,0.9114571596217356
190,285.79561381416914,2.0463169341338197,1.0,0.006356513513844147,0.9164682326497011
200,370.64371833132384,2.498230896199022,1.0,0.007427857842004217,1.0633686561554476
210,25.55037293021943,0.908053236394756,1.0,0.46299088864211024,0.49879307929786776
220,279.4747573983842,2.0291176656899275,1.0,0.0976440407953371,0.8308566161314509
230,-229.18639333951805,-0.357973592445184,1.0,0.850336344280971,0.10554530666542494
240,200.40245700436006,1.6756342788192928,1.0,0.2810916837879869,0.6276435239907128
250,-25.821743076863395,0.7306854416748247,1.0,0.5488309061198053,0.4138977545472965
260,-62.14860351842977,0.5618354530335953,1.0,0.5510659898014902,0.3938711027192586
270,-0.7186658770362613,0.7611046131780554,1.0,0.45764116844728064,0.4554257927247519
280,143.74869750421266,1.4675685885127612,1.0,0.36721439809878953,0.5486071860568323
290,-40.27583088104363,0.6363314155812879,1.0,0.5496270443550377,0.4126884621250803
300,244.61174569021506,1.9650959348349584,1.0,0.2815740471636025,0.7494251836604899
310,278.14336089948665,1.9752998010240657,1.0,0.09607489482722763,0.8157245950724944
320,662.8307194584929,4.005205704010614,0.9,0.002612633989024844,1.2177541465190322
330,317.2802655258042,2.2814640883769117,1.0,0.18932167349281093,0.8480194233723417
340,416.10322469881555,2.8217900386984907,0.8,0.3656466723429409,0.6970348332990038
350,1421.3888136606106,6.985432016128118,0.3,0.00040177528189400835,1.0336742078932066
360,632.5044644936481,3.6924980961596745,0.8,0.0005924821280203555,1.2292130367519682
370,1088.081693366613,5.943581075715033,0.7,0.008468658156645813,1.1732978440243955
380,871.3241948779008,4.873115511024196,0.9,0.0007705221081043732,1.1884703249360782
390,696.0633293940523,3.5415498461857977,0.4,0.37650610801710177,0.49061876918164105
400,1091.658986821464,5.483678005644474,0.5,0.01646312445022453,0.9583967699715664
410,627.5044510139171,3.5487863587216113,0.7,0.28112755465271644,0.6670579947991154
420,1134.3215104509404,5.798262538204954,0.6,0.005809426843777249,1.0397129742438083
430,660.9912636175799,3.7985093726049115,0.7,0.27766280234911156,0.7814113250924201
440,460.6214937333034,2.764910926167519,0.8,0.2774929429535223,0.6275775166818762
450,821.0444412087523,4.8869880901902985,0.9,0.10036249375856118,1.1216834325217766
460,1057.7280418117587,5.430628204868023,0.6,0.0054586239803197534,1.0055427972656052
470,1517.7927521903516,7.4230280577907255,0.4,0.0005646390883726142,1.0204497281474836
480,1376.9738462203532,6.6850993539650805,0.4,0.0010716940454893978,0.9682819912373759
490,1126.8339289518576,5.467107054198886,0.4,0.0017739601023312207,0.9029887288455996
