gen,best,mean,sigma,penalty_scale,correction_scale,elapsed_s
0,-28.208501253688976,-68.83731197028327,0.4903346944170465,0.2,0.0,1.5594477653503418
1,-44.87130316247677,-70.98002658352027,0.48195557361401464,0.20400000000000001,0.0025,0.180894136428833
2,-42.805871609694954,-66.86818569246597,0.47475225717954944,0.20800000000000002,0.005,0.2012488842010498
3,-39.45090016177493,-62.91142433784703,0.4682568559886689,0.21200000000000002,0.0075,0.24290800094604492
4,-18.077157623174507,-55.75331019800408,0.46238849815023375,0.21600000000000003,0.01,0.25379180908203125
5,-16.59236588841133,-56.15502808113374,0.45701605596600137,0.22000000000000003,0.0125,0.2653629779815674
6,18.158505076743367,-52.00286125270577,0.4521162216232368,0.224,0.015,0.3260679244995117
7,33.751092630823244,-41.605505286152734,0.4475081557674528,0.228,0.0175,0.3644249439239502
8,52.9304189252201,-38.122246359749674,0.4433077415808802,0.232,0.02,0.39820098876953125
9,151.69410454265497,-2.8387956199021906,0.4395269896571508,0.23600000000000002,0.0225,0.512775182723999
10,162.81058676468902,28.612828004005102,0.43600650238552097,0.24000000000000002,0.025,0.5930910110473633
11,161.07213730632802,41.641673839202305,0.43282117186608393,0.24400000000000002,0.0275,0.6434259414672852
12,154.35985422118935,51.67362438894615,0.4297809750938892,0.248,0.03,0.6461281776428223
13,156.90739711638685,58.557786847951455,0.4268781801053019,0.252,0.0325,0.6420609951019287
14,155.1670465138774,82.34054254785227,0.42411807305522525,0.256,0.035,0.6863470077514648
15,158.18559422490432,57.48301647006424,0.4215123764756387,0.26,0.0375,0.7062649726867676
16,154.8347020494282,57.96189734773202,0.41915463531612096,0.264,0.04,0.7416279315948486
17,161.675416608688,60.626532207230966,0.4170479768822226,0.268,0.0425,0.7652888298034668
18,154.56941068510207,34.704110491279984,0.41511164458010247,0.272,0.045,0.7824063301086426
19,158.30673534063237,68.27953425422011,0.41335995484741084,0.276,0.0475,0.7502009868621826
20,158.52617860047997,92.91681751648709,0.4117926761924129,0.28,0.05,0.7834160327911377
21,157.6189247619645,35.75363017786836,0.4102664129965534,0.28400000000000003,0.0525,0.7937729358673096
22,156.26009754474038,39.523890221636464,0.4088503049492015,0.28800000000000003,0.055,0.7585110664367676
23,161.32277629114458,62.96721839087174,0.40767714973371794,0.29200000000000004,0.0575,0.7413959503173828
24,161.3993145818797,68.41827750842695,0.40646620436186026,0.29600000000000004,0.06,0.7798669338226318
25,163.08813502976275,37.99547002317265,0.4053373042469235,0.30000000000000004,0.0625,0.7760930061340332
26,149.97994616060507,23.02512455595646,0.40436288500060036,0.30400000000000005,0.065,0.7729532718658447
27,150.30606185351613,56.32550218941706,0.4034553671009951,0.30800000000000005,0.0675,0.8513569831848145
28,155.74677060294255,68.06341903453341,0.402430761069839,0.31200000000000006,0.07,0.8164961338043213
29,168.54815996764893,80.63165737976554,0.4016046203806786,0.316,0.0725,0.8619909286499023
30,168.06116369859535,21.88344241192388,0.40093205956998806,0.32,0.075,0.8260250091552734
31,151.24239350630955,62.77971878582093,0.40010317271721263,0.324,0.0775,0.9028670787811279
32,150.70596058909848,71.79395732608296,0.399348891362895,0.328,0.08,0.8149340152740479
33,166.6635725085905,64.89318122372984,0.3987911240142582,0.332,0.0825,0.9597160816192627
34,158.04633940771842,63.11124679684802,0.3982113958956763,0.336,0.085,0.986638069152832
35,159.39134188005488,73.12934634523502,0.397558120413514,0.33999999999999997,0.0875,0.9549088478088379
36,166.26935046668524,58.954748643358855,0.3968340037285581,0.344,0.09,1.0545287132263184
37,171.70576315276432,83.78723713511094,0.3960557202737815,0.348,0.0925,0.8926031589508057
38,152.2072844096045,61.44339398367872,0.3954305894382631,0.35200000000000004,0.095,0.975553035736084
39,157.08465173937614,93.29945569782073,0.39491259665794554,0.35600000000000004,0.0975,0.9832339286804199
40,146.3603411891511,76.88924183683196,0.39439702250226977,0.36000000000000004,0.1,1.0462021827697754
41,147.5019921611956,56.756900658575546,0.3941637346298918,0.364,0.1025,1.0248920917510986
42,145.56271754331036,69.85928418004586,0.39398073904267605,0.368,0.105,1.0261530876159668
43,153.65035310238613,87.44730683597318,0.3938396473916756,0.372,0.1075,0.9872090816497803
44,153.7027086579137,79.17547182708722,0.39369483538368,0.376,0.11,1.0737872123718262
45,160.05402764308081,99.50791398890598,0.3934044481747763,0.38,0.1125,1.0381770133972168
46,154.64550187661322,92.4146465563388,0.39334052655233176,0.384,0.115,1.1046981811523438
47,147.77267838487737,84.42764743263706,0.3933288433955494,0.388,0.1175,1.0812571048736572
48,161.08679136143948,60.12470600535962,0.3932212879870154,0.392,0.12,1.0725572109222412
49,163.22593046593542,84.69641861927212,0.393169422288503,0.396,0.1225,1.086155891418457
50,142.23389933810117,75.02925048846919,0.39315052187941196,0.4,0.125,1.0411128997802734
51,150.44446746789149,79.02497557006166,0.3931562371979171,0.404,0.1275,1.1183562278747559
52,146.64706929456898,65.16819224887192,0.3931295097192521,0.40800000000000003,0.13,1.0968430042266846
53,150.28215291427748,62.92700696535778,0.39313892941885525,0.41200000000000003,0.1325,1.1051390171051025
54,148.06459004239747,87.2576507430625,0.3932386161611737,0.41600000000000004,0.135,1.085205078125
55,138.96562905708672,40.60921936516714,0.39324852977446395,0.42000000000000004,0.1375,1.129317045211792
56,138.39034457265268,56.75626002067256,0.39332648873967097,0.42400000000000004,0.14,1.077577829360962
57,155.19306121678275,68.92785529404682,0.393323083480735,0.428,0.1425,1.1297972202301025
58,142.25338120459034,77.22927731421025,0.39335896508959406,0.432,0.145,1.0783259868621826
59,138.40767524450584,48.528834278651615,0.3933640111250209,0.436,0.1475,1.1055521965026855
60,144.9388651260306,39.95113548875509,0.39348022813778255,0.44,0.15,1.0620920658111572
61,147.61501714517863,-2.4732172449148577,0.393677069775715,0.444,0.1525,1.098423957824707
62,138.3068795573355,12.056478699685767,0.39400257561592394,0.448,0.155,1.1913402080535889
63,149.07542900227423,28.943897499453737,0.3944665833342263,0.452,0.1575,1.2218918800354004
64,140.06607884407848,45.3982263625903,0.395000387675103,0.456,0.16,1.0917880535125732
65,137.13092706294697,59.6955973269022,0.3954803966865635,0.46,0.1625,1.0402710437774658
66,146.21005053222413,49.266776167247855,0.3958419760354301,0.464,0.165,1.0546972751617432
67,142.28302515003165,21.583614856942386,0.3962269889010484,0.468,0.1675,1.0864579677581787
68,151.72226267508927,58.272058305425126,0.39674025267592555,0.47200000000000003,0.17,0.9972238540649414
69,134.49580347352313,54.22465479467492,0.397182644258563,0.476,0.1725,1.0293982028961182
70,138.47073790127573,23.677430569679206,0.39764939530816346,0.48,0.175,1.0325818061828613
71,124.90883517425749,-10.390863771510851,0.398029656269728,0.484,0.1775,0.9788951873779297
72,125.86906868268413,18.679510387476437,0.39836857895818645,0.488,0.18,1.020021915435791
73,126.57817853617031,9.501235484803457,0.39860090476332566,0.492,0.1825,1.003847360610962
74,139.4642345487245,43.707996296598665,0.3986877385718234,0.496,0.185,0.8927738666534424
75,125.69891262712791,-0.6095238810795834,0.39869646208682546,0.5,0.1875,0.9919838905334473
76,126.73419835853207,30.816523717480187,0.39856325470633774,0.504,0.19,0.9249899387359619
77,132.94787259236418,27.01346724757127,0.39843498647945436,0.508,0.1925,0.9380779266357422
78,124.29947345647652,14.382814997929325,0.3984211656450593,0.512,0.195,0.9647927284240723
79,118.53590743174904,10.414340649819115,0.3985253342830507,0.516,0.1975,0.9305040836334229
80,115.25356717449903,-8.773779194283454,0.39842011704279956,0.52,0.2,0.9641928672790527
81,119.66332716895216,39.12835832544547,0.39838469529847553,0.524,0.2025,0.7720401287078857
82,114.24287891457466,14.869033807221792,0.398391498352101,0.528,0.205,0.9252407550811768
83,127.53085495514769,19.824291494360658,0.3985241872623935,0.532,0.2075,0.9263970851898193
84,122.22382177579664,-0.33974825089719796,0.39874632893192047,0.536,0.21,1.0779809951782227
85,111.43076686233655,24.124367716075973,0.3990375817229697,0.54,0.2125,0.8467361927032471
86,114.6035108360414,42.884994087367076,0.39923657780976185,0.544,0.215,0.8420429229736328
87,107.95295055520323,38.95242553017899,0.3993049512988356,0.548,0.2175,0.6989209651947021
88,118.60743891624287,48.86328239989674,0.39935538002711574,0.552,0.22,0.8016030788421631
89,117.12138958456028,48.546428933255925,0.399462313329965,0.556,0.2225,0.8157670497894287
90,121.60375918304999,50.38584141803027,0.3996153731673101,0.56,0.225,0.9231879711151123
91,129.13720415669295,5.2366929720821345,0.39979195141319135,0.5640000000000001,0.2275,0.8510980606079102
92,121.29048191763935,41.0129582922821,0.40001442264998177,0.5680000000000001,0.23,0.9612500667572021
93,133.44156747591376,31.701508701184736,0.4002693103567061,0.5720000000000001,0.2325,0.9420609474182129
94,121.48388631342584,-44.94897440458618,0.40045267928938766,0.5760000000000001,0.235,0.8407952785491943
95,121.73546921500021,-37.49199482434706,0.4006699591141502,0.5800000000000001,0.2375,0.9802041053771973
96,114.92864070042378,-22.198066042904617,0.40078654950620274,0.5840000000000001,0.24,0.9354300498962402
97,117.83231060271588,-45.57909882702892,0.40097987392293083,0.5880000000000001,0.2425,0.903796911239624
98,121.63476319076598,-4.0194831028539,0.40107038404196155,0.5920000000000001,0.245,0.9905221462249756
99,137.07612740126712,13.364213270520576,0.4010955195958616,0.5960000000000001,0.2475,0.9683351516723633
100,139.63253944778614,-6.124217182686342,0.4010740344496033,0.6000000000000001,0.25,0.9498729705810547
101,124.35311315901636,15.95172509500478,0.40119514915608817,0.6040000000000001,0.2525,0.8731329441070557
