gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-51.749164733639354,-70.46341191245848,0.4906198029226856,0.2,0.0,-1.6,moon,1.573896884918213
1,-46.99718063627521,-69.95217381977996,0.48245899598860364,0.20400000000000001,0.0025,-1.6,moon,0.20416998863220215
2,-53.28536888962004,-68.24541456018082,0.4753276540778876,0.20800000000000002,0.005,-1.6,moon,0.17952394485473633
3,-46.87301881173695,-66.84117420434254,0.46873590115659153,0.21200000000000002,0.0075,-1.6,moon,0.21604108810424805
4,-53.369330458447585,-65.36915794777387,0.4626517180503575,0.21600000000000003,0.01,-1.6,moon,0.23275089263916016
5,-47.73566666132057,-63.79566765072129,0.45720916714734633,0.22000000000000003,0.0125,-1.6,moon,0.23297405242919922
6,-37.189372649962344,-63.86419278094627,0.4521415052946478,0.224,0.015,-1.6,moon,0.2806210517883301
7,-48.464889904345576,-65.41772506676232,0.4473954943878061,0.228,0.0175,-1.6,moon,0.23223876953125
8,-43.06033495150988,-65.56010998492975,0.44308550497217336,0.232,0.02,-1.6,moon,0.24879717826843262
9,-33.85881469673451,-65.67786230609302,0.4390405796955956,0.23600000000000002,0.0225,-1.6,moon,0.2420341968536377
10,-42.48394260284951,-66.7932413507381,0.43536012140805097,0.24000000000000002,0.025,-1.6,moon,0.2138350009918213
11,-56.19058548597497,-69.20000229862032,0.4320540068367134,0.24400000000000002,0.0275,-1.6,moon,0.23701024055480957
12,-42.648665256177594,-64.8287955628032,0.4288887650712061,0.248,0.03,-1.6,moon,0.28283190727233887
13,-25.14148075515561,-70.99961318424344,0.42595369785624465,0.252,0.0325,-1.6,moon,0.24205398559570312
14,-27.109129658351307,-70.66282112768502,0.42326866480809416,0.256,0.035,-1.6,moon,0.2640848159790039
15,-54.265073642646676,-72.79040000995357,0.4208020825844009,0.26,0.0375,-1.6,moon,0.26007986068725586
16,-48.0879443302582,-68.76946395529427,0.41837982504933313,0.264,0.04,-1.6,moon,0.25893402099609375
17,-55.525866466451454,-70.56216369446233,0.4161821835483028,0.268,0.0425,-1.6,moon,0.25877928733825684
18,-57.075075612776494,-69.6316828238295,0.4141895445326898,0.272,0.045,-1.6,moon,0.3057582378387451
19,-38.848164038772175,-68.85206659027206,0.4123594236584551,0.276,0.0475,-1.6,moon,0.34259629249572754
20,-42.54168626145081,-67.26144946279805,0.4105955473783655,0.28,0.05,-1.6,moon,0.35534214973449707
21,-43.8466748075694,-67.18123306967382,0.4089523994732683,0.28400000000000003,0.0525,-1.6,moon,0.3907308578491211
22,-50.14891107468998,-67.36335587149794,0.4075301517345976,0.28800000000000003,0.055,-1.6,moon,0.39144396781921387
23,-15.411719728822392,-66.07335683795095,0.40610296594887735,0.29200000000000004,0.0575,-1.6,moon,0.4254629611968994
24,-18.92489463084638,-63.15142188860176,0.4046392841281217,0.29600000000000004,0.06,-1.6,moon,0.47681379318237305
