gen,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
0,-322.2927333186427,-0.10100291416030885,1.0,0.10464504796764917,0.015692474338878278
10,-329.6118045788645,-0.06494272953786111,1.0,0.06494272953786111,0.0
20,-289.3858424933263,-0.04439058162087158,1.0,0.04587112934354506,0.004266558510428722
30,-242.94376970404238,-0.04056709250973725,1.0,0.185417996138924,0.10467713757547936
40,4.408111226765212,0.9612649772413515,1.0,0.003326036624871221,0.8060237405963513
50,12.596516922162952,0.8237612648199075,1.0,0.13168713356252912,0.4672283593407925
60,-176.70230531376052,0.022577067686698694,1.0,0.4917614494042774,0.32897419252252047
70,-51.2740012916566,0.5247823250618617,1.0,0.2449951848729869,0.3748576506526387
80,-149.80247956261528,0.060919513386906335,1.0,0.4750854616203492,0.18056101897085183
90,-415.73076512996613,-0.9001068141447824,1.0,0.9118084701765564,0.007306561527976966
100,-96.50788436014452,0.3885939584780117,1.0,0.3668006449128261,0.4120433362792689
110,125.49308638091084,1.3415601558937322,1.0,0.010005011216167259,0.7419883040226863
120,123.97214831061603,1.3283125202118573,1.0,0.0021041978609169804,0.7346162063467915
130,-449.4788840091525,-0.9054505781083476,1.0,0.9156192272178281,0.009563038836605019
140,145.68046134780326,1.427908203549172,1.0,0.016730769051466962,0.8075355523022711
150,-134.27245265271927,0.33655614126108313,1.0,0.4291159834357794,0.35992491397659593
160,71.74580419502895,1.1576015192283227,1.0,0.004413099796654099,0.7229881249954598
170,140.2258449951793,1.3319858960413429,1.0,0.03888700005183008,0.6102284355460553
180,135.98997766494944,1.4799170508572843,1.0,0.002541146012138029,1.014717359751419
190,177.34972812311304,1.5997143232757007,1.0,0.007717602131134831,0.969546307745057
200,522.8128380362,3.5062214100090627,1.0,0.001832800024416447,1.5169267541915652
210,199.24866581834485,1.6883296317248586,1.0,0.01849540016961398,0.9342646092460292
220,217.8008791302886,1.7458358932491898,1.0,0.004513007998035766,0.9715486459908155
230,319.2662055240199,2.176020203984345,1.0,0.0012834211048848951,1.0722392035752735
240,473.67833138955984,3.082896717517449,1.0,0.0075633354061172805,1.303474222735106
250,262.21893521451983,1.9489773598915359,1.0,0.012427190233110777,1.1425592634124597
260,214.919426843365,1.7595850521036465,1.0,0.003949295208308265,1.0772220532815449
270,311.62166087791627,2.376220889839498,1.0,0.09984244087491037,1.2131680766594117
280,220.3165757699784,1.7664778064185502,1.0,0.0026927872795919714,1.0314477982377717
290,397.3133997533281,2.6662452811656214,1.0,0.005102522541570112,1.2126569277247876
300,402.069914038793,2.7533789977836536,1.0,0.0051067808206082255,1.3366294139216317
310,242.72238330128795,1.86142413915701,1.0,0.004478354083449413,1.0705105913610153
320,233.356521677847,1.8490747473427203,1.0,0.009041897767045682,1.1463821447391638
330,228.7744180182235,1.8163449236267422,1.0,0.004504422812013005,1.059042937008862
340,1556.7716194659874,7.415534742746334,0.1,0.08862450885660228,0.9413125005304952
350,2127.33212953754,11.260359611462388,0.0,0.015054879524429646,1.4094268113733524
360,1821.3244311730548,9.784818378909364,0.4,0.00824897507383594,1.469900920283295
370,1265.5885241731607,6.777957657629898,0.4,0.10474673342071913,1.0513745051645496
380,2014.4724022963978,11.513010065053525,0.1,0.06994965530156694,1.4506039681082108
390,1931.900765702478,9.654763468426022,0.0,0.012133597188056715,1.20836213320176
400,1861.6151552914623,9.717490336818013,0.1,0.013491721397116883,1.2910922939849718
410,2068.1600804356317,11.309520923945763,0.2,0.003537592504954664,1.5042947782566973
420,1935.0769038764295,9.782606556245586,0.0,0.009971053710036065,1.224072201244453
430,2164.6654758130053,11.491196336034912,0.0,0.003413964469899989,1.436826287563101
440,1048.8401671819788,5.817938362031894,0.5,0.4658810540482879,0.8235342871421428
450,2060.9983456426207,10.946320268919006,0.1,0.04138577759532689,1.3982115448398398
460,1449.3448108664113,8.73410647548318,0.4,0.13978426189713783,1.332283844471931
470,1970.8502664558812,10.03483331455418,0.0,0.0053726592383782235,1.2550257467240697
480,1515.0354706514759,7.921317663559911,0.2,0.07213063673068582,1.0529590398181898
490,1486.7660730943967,8.556247968684321,0.5,0.0006274024203326782,1.5872462377794563
