gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-54.9908309510989,-75.22419922655811,0.4904919439245635,0.2,0.0,-1.6,moon,1.7963168621063232
1,-41.71343840952404,-69.58670365787802,0.4822401533270504,0.20400000000000001,0.0025,-1.6,moon,0.21366620063781738
2,-54.119665585798295,-73.39039228349858,0.4750597657517993,0.20800000000000002,0.005,-1.6,moon,0.19301605224609375
3,-48.74832153684676,-65.12328882755853,0.46842381155456386,0.21200000000000002,0.0075,-1.6,moon,0.24787306785583496
4,-41.883954873822816,-67.0640637894196,0.46254269530570724,0.21600000000000003,0.01,-1.6,moon,0.25296521186828613
5,-33.03421418466693,-64.87142174394003,0.45712115500921424,0.22000000000000003,0.0125,-1.6,moon,0.2706151008605957
6,-35.21990350853816,-61.60613401520129,0.45213042397627357,0.224,0.015,-1.6,moon,0.33974504470825195
7,-4.491337553873163,-64.18417395560894,0.4474590502808459,0.228,0.0175,-1.6,moon,0.3026609420776367
8,-53.057795975156445,-65.60860755019564,0.4430211720609149,0.232,0.02,-1.6,moon,0.31125879287719727
9,-18.274516766863403,-60.55762383563099,0.4390240484381504,0.23600000000000002,0.0225,-1.6,moon,0.355557918548584
10,-35.02717391546811,-62.56061228279113,0.4352443175304756,0.24000000000000002,0.025,-1.6,moon,0.35133910179138184
11,-16.49170695925399,-60.692373583693495,0.43171907868684556,0.24400000000000002,0.0275,-1.6,moon,0.39366888999938965
12,-34.301998623003094,-62.66491840856412,0.4283962539644109,0.248,0.03,-1.6,moon,0.3970921039581299
13,-36.8366666550865,-61.6533124198786,0.4252137528146525,0.252,0.0325,-1.6,moon,0.4530496597290039
14,-43.91028639726312,-63.85879128831898,0.42226529030316146,0.256,0.035,-1.6,moon,0.44913601875305176
15,-32.25791337348767,-61.640330878218286,0.41963479646415286,0.26,0.0375,-1.6,moon,0.48868513107299805
16,15.197881858130858,-62.488009124805025,0.41724230053819317,0.264,0.04,-1.6,moon,0.49630117416381836
17,-9.617930842147414,-59.38732440597157,0.41494682231110164,0.268,0.0425,-1.6,moon,0.7281169891357422
18,-5.5546313451365945,-57.30658335919056,0.41270681719836344,0.272,0.045,-1.6,moon,0.6731021404266357
19,-6.982378907559469,-56.38793371681696,0.41074294109416803,0.276,0.0475,-1.6,moon,0.8387200832366943
20,101.74439689433177,-47.895791800143826,0.40896228639869747,0.28,0.05,-1.6,moon,0.9791347980499268
21,179.54952110120226,-48.964104326304835,0.40743020115528317,0.28400000000000003,0.0525,-1.6,moon,1.0521090030670166
22,219.5345434488012,-19.3680309317315,0.40603141571696655,0.28800000000000003,0.055,-1.6,moon,1.402435064315796
23,247.20501054743735,10.510118274311171,0.40455166647138957,0.29200000000000004,0.0575,-1.6,moon,1.6171190738677979
24,253.951126640483,35.297364997222715,0.4032306123170699,0.29600000000000004,0.06,-1.6,moon,1.7880349159240723
25,328.83668225728314,105.92747081638845,0.40208165448523825,0.30000000000000004,0.0625,-1.6,moon,2.3194119930267334
26,282.8324653431455,133.05849805030203,0.40093479113718683,0.30400000000000005,0.065,-1.6,moon,2.5101318359375
27,275.3093040212481,118.75140416753456,0.3998027638865931,0.30800000000000005,0.0675,-1.6,moon,2.4307568073272705
28,258.39832875641144,160.48285597882312,0.3986368345591797,0.31200000000000006,0.07,-1.6,moon,2.622694969177246
