gen,best,mean,sigma,gravity,phase,elapsed_s
0,-318.08043778326237,-395.82047156427063,0.49033872143148793,-2.0,warmup,1.4483957290649414
1,-292.0028565718872,-380.7668220567888,0.48195474249791054,-2.0,warmup,0.11796689033508301
2,-317.65044566334535,-375.16536944907426,0.4745324917873522,-2.0,warmup,0.10891890525817871
3,-315.4170685933058,-367.87499256992544,0.46795328835116096,-2.0,warmup,0.15182185173034668
4,-298.0156498551824,-369.6786068429986,0.4619626533659369,-2.0,warmup,0.14012789726257324
5,-302.47388273038666,-351.439352954752,0.4565388858377132,-2.0,warmup,0.16705989837646484
6,-291.8067728588528,-351.5509741076495,0.4516350827559479,-2.0,warmup,0.1615009307861328
7,-284.7392259503979,-334.4093903168605,0.44711306280977886,-2.0,warmup,0.14832377433776855
8,-271.1891975137733,-332.77990846126903,0.44306858241524305,-2.0,warmup,0.18573784828186035
9,-274.83728882610814,-336.1514704742724,0.43946189547051195,-2.0,warmup,0.24518299102783203
10,-239.92641617432764,-335.1551609942967,0.43615564925677774,-2.0,warmup,0.22787904739379883
11,-223.52309513286573,-334.3229787440958,0.43302139347881796,-2.0,warmup,0.3353610038757324
12,-269.0810169270988,-320.31396353968455,0.4300988266751106,-2.0,warmup,0.3031182289123535
13,-218.99788101764102,-321.79635814620576,0.42742439583423686,-2.0,warmup,0.3259708881378174
14,-202.9774452805599,-309.57952848036,0.4251717692415452,-2.0,warmup,0.35903096199035645
15,-230.68402887293269,-303.255368378873,0.42298167191630676,-2.0,warmup,0.36210012435913086
16,-246.1411877620358,-306.54578775811194,0.4210448322272233,-2.0,warmup,0.37610483169555664
17,-3.011433661655412,-276.6949722017297,0.4192308045498651,-2.0,warmup,0.5165200233459473
18,-196.4814456248968,-285.9572992256592,0.41750922827675613,-2.0,warmup,0.5386161804199219
19,2.1966926231069217,-270.77862797527905,0.416070746690958,-2.0,warmup,0.554642915725708
20,58.67211065516356,-239.5917238993605,0.4147279132951879,-2.0,warmup,0.7028670310974121
21,-24.964145730811172,-235.79346203763265,0.4134785884741919,-2.0,warmup,0.7843990325927734
