gravity,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
-6.0,475.7157299968326,2.2116467549771293,0.35,0.492529901357856,0.4058225022783394
-7.5,707.4860643320869,3.143021520307648,0.2,0.4714041958046756,0.4885012929747453
-9.81,861.3346330760023,4.008323176486618,0.25,0.3720085395830404,0.5624188247384938
-11.0,781.3136392982947,3.653290786522377,0.25,0.42376335722335295,0.5430988540191792
-12.0,668.6472709120424,3.1946874639069565,0.35,0.4920388017354297,0.5081477291171093
