gravity,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
-6.0,1100.8525887033861,5.661595918996129,0.55,0.5478090618693028,0.9440203061324194
-7.5,1235.7026462187846,6.339481600795795,0.45,0.2946060776312997,0.9773244115540903
-9.81,1083.5726828394036,5.093800758517839,0.25,0.583248808262272,0.7552964967586588
-11.0,967.2111563953816,4.389626550024574,0.15,0.6824631500437197,0.6968840374900733
-12.0,927.4001561221418,4.301830841083538,0.45,0.6057246737686324,0.7241764301397349
