gravity,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
-6.0,1821.8867162294428,8.97774755218258,0.05,0.009041008593996643,1.1342617354814086
-7.5,1748.6043470311645,8.738264090174583,0.1,0.009274753736338452,1.1462576028135043
-9.81,1606.7689351013955,8.367584705572238,0.35,0.00860817331861823,1.2553934392072217
-11.0,1486.4947977655934,7.893142971727241,0.4,0.013568351837273118,1.2627260115743906
-12.0,1128.62859841576,6.249359672287364,0.75,0.009931792306951407,1.2686378580019981
