gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-60.19957874901653,-76.49699941015987,0.49042593828732034,0.2,0.0,-1.6,lv0(-1.6),1.575287103652954
1,-46.471566508552435,-72.9580872621635,0.48200292471212586,0.20400000000000001,0.0025,-1.6,lv0(-1.6),0.2166149616241455
2,-54.51345780087896,-73.49215669697972,0.47457662302097176,0.20800000000000002,0.005,-1.6,lv0(-1.6),0.18151593208312988
3,-49.26321776810579,-72.0730395310151,0.46811028595059734,0.21200000000000002,0.0075,-1.6,lv0(-1.6),0.17369675636291504
4,-52.58159754133904,-72.49461464242202,0.4624031667150065,0.21600000000000003,0.01,-1.6,lv0(-1.6),0.20035076141357422
5,-50.926594079486925,-70.4465467349579,0.45692452625993674,0.22000000000000003,0.0125,-1.6,lv0(-1.6),0.19717764854431152
6,-53.9020700707145,-72.33833182870073,0.4519518116677294,0.224,0.015,-1.6,lv0(-1.6),0.24996519088745117
7,-50.787443584210905,-71.39776357559937,0.44741332121760063,0.228,0.0175,-1.6,lv0(-1.6),0.20381402969360352
8,-48.58176414007479,-71.9888186883919,0.4432342773102456,0.232,0.02,-1.6,lv0(-1.6),0.1941850185394287
9,-46.94402165401818,-69.73140251405337,0.4393753500299374,0.23600000000000002,0.0225,-1.6,lv0(-1.6),0.2595498561859131
10,-47.178625758524134,-70.22729769065002,0.4357432643610669,0.24000000000000002,0.025,-1.6,lv0(-1.6),0.29924607276916504
11,-50.931508574161626,-68.66891972158541,0.4324430098478644,0.24400000000000002,0.0275,-1.6,lv0(-1.6),0.2899341583251953
12,-48.86825306081435,-74.22933509922515,0.42949485647345076,0.248,0.03,-1.6,lv0(-1.6),0.28123974800109863
13,-30.326974480998828,-74.32495120801488,0.42678528159461737,0.252,0.0325,-1.6,lv0(-1.6),0.24823307991027832
14,-34.77727992470341,-67.51228935066017,0.42419596613568245,0.256,0.035,-1.6,lv0(-1.6),0.3087952136993408
15,-43.290813937409006,-73.23210922724554,0.4218060563727518,0.26,0.0375,-1.6,lv0(-1.6),0.33592796325683594
16,-6.074455222034422,-66.792932086146,0.41959811125128094,0.264,0.04,-1.6,lv0(-1.6),0.3900589942932129
17,8.597958960105798,-67.95010240053082,0.4174994951579776,0.268,0.0425,-1.6,lv0(-1.6),0.3847160339355469
18,5.505911719342504,-69.80944942208302,0.4155274086203836,0.272,0.045,-1.6,lv0(-1.6),0.45520782470703125
19,312.9092221330095,-51.45389919322446,0.4136249944795929,0.276,0.0475,-1.6,lv0(-1.6),0.4745059013366699
20,43.49813591019514,-63.16001795868283,0.4120493601668656,0.28,0.05,-1.6,lv0(-1.6),0.40950703620910645
21,151.7025188688009,-57.37624334077715,0.41053348481878765,0.28400000000000003,0.0525,-1.6,lv0(-1.6),0.5334839820861816
22,145.64236531934546,-38.47862514044054,0.40917540732522784,0.28800000000000003,0.055,-1.6,lv0(-1.6),0.8015820980072021
23,284.4748352827004,4.081696146972779,0.40804042867721807,0.29200000000000004,0.0575,-1.6,lv0(-1.6),1.0030510425567627
24,294.8494423203702,-13.903839552117034,0.40695396277505497,0.29600000000000004,0.06,-1.6,lv0(-1.6),0.9040820598602295
25,225.31498649946369,-22.23914318769436,0.4058998737631181,0.30000000000000004,0.0625,-1.6,lv0(-1.6),0.9954419136047363
26,291.9673413244162,44.166146453833576,0.4049243650159982,0.30400000000000005,0.065,-1.6,lv0(-1.6),1.0577802658081055
27,322.4106560272976,43.840794405290886,0.4041484120938118,0.30800000000000005,0.0675,-1.6,lv0(-1.6),1.254667043685913
28,300.3572951202531,59.51832782479585,0.4034395534485089,0.31200000000000006,0.07,-1.6,lv0(-1.6),1.273975133895874
29,327.87606218119294,81.3383392671665,0.40298971799024963,0.316,0.0725,-1.6,lv0(-1.6),1.2623419761657715
30,372.60884609385874,83.71735578812294,0.40289736398995946,0.32,0.075,-1.6,lv0(-1.6),1.329017162322998
31,361.85274743464606,103.356546279736,0.4026676525668676,0.324,0.0775,-1.6,lv0(-1.6),1.400447130203247
32,470.8185105526681,173.74561125421047,0.4023875449877469,0.328,0.08,-1.6,lv0(-1.6),1.569216012954712
33,356.3880889005548,118.20430511829996,0.40217863513995233,0.332,0.0825,-1.6,lv0(-1.6),1.4737226963043213
34,445.18432700317754,148.6828334813415,0.4019539702262415,0.336,0.085,-1.6,lv0(-1.6),1.709864854812622
35,317.280329975493,86.10649617324302,0.4017828394850458,0.33999999999999997,0.0875,-1.6,lv0(-1.6),1.5732979774475098
36,377.0926048986477,147.63856709012754,0.4016250702843965,0.344,0.09,-1.6,lv0(-1.6),1.7211179733276367
37,385.09980336313214,102.40820706273087,0.40148355028107985,0.348,0.0925,-1.6,lv0(-1.6),1.6552820205688477
38,435.17016214219046,149.06928205731703,0.40126899296417395,0.35200000000000004,0.095,-1.6,lv0(-1.6),2.006837844848633
39,401.57087248341696,102.12509809983844,0.4011249722390149,0.35600000000000004,0.0975,-1.6,lv0(-1.6),1.9437339305877686
40,433.6895992985008,118.8349894671054,0.4011179174285476,0.36000000000000004,0.1,-1.6,lv0(-1.6),1.6875121593475342
