gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-46.491527928994174,-75.84381219215184,0.49026239298260776,0.2,0.0,-1.6,moon,1.5792641639709473
1,-66.69896896649998,-76.69757674038918,0.48181084129665314,0.20400000000000001,0.0025,-1.6,moon,0.17696619033813477
2,-56.7786529867114,-77.00206880737392,0.47425679261435716,0.20800000000000002,0.005,-1.6,moon,0.18502497673034668
3,-54.85963291868637,-72.95313048844764,0.4675187104671745,0.21200000000000002,0.0075,-1.6,moon,0.23740696907043457
4,-63.145017137745846,-74.67562864761514,0.4614755916122159,0.21600000000000003,0.01,-1.6,moon,0.18011069297790527
5,-57.82822451587872,-75.08324089831815,0.45592890558108146,0.22000000000000003,0.0125,-1.6,moon,0.20621800422668457
6,-57.19084762250642,-74.43725152241537,0.45098659500184823,0.224,0.015,-1.6,moon,0.26651597023010254
7,-21.22320537487207,-72.2666556978523,0.4465220834213105,0.228,0.0175,-1.6,moon,0.24700117111206055
8,-58.56887490552254,-76.41156036993367,0.4424994014357764,0.232,0.02,-1.6,moon,0.24317502975463867
9,-55.37733815289232,-76.72008589008261,0.43884917542998847,0.23600000000000002,0.0225,-1.6,moon,0.283721923828125
10,-46.931232956668026,-73.94647268404329,0.43546491658705727,0.24000000000000002,0.025,-1.6,moon,0.2294921875
11,-59.44454321977097,-73.41428967030882,0.4323201334414038,0.24400000000000002,0.0275,-1.6,moon,0.2488999366760254
12,-47.59740455968089,-76.58744566618427,0.4292638042914684,0.248,0.03,-1.6,moon,0.29675817489624023
13,-56.05966669067133,-77.06840173810865,0.42637375163932995,0.252,0.0325,-1.6,moon,0.26405906677246094
14,-37.50336863349835,-77.99834932650784,0.42359876299366617,0.256,0.035,-1.6,moon,0.27730417251586914
15,-60.68502189541051,-78.40785535955335,0.42088680694027764,0.26,0.0375,-1.6,moon,0.2739746570587158
16,48.147555107922294,-76.62757711111652,0.41824397587156736,0.264,0.04,-1.6,moon,0.27970194816589355
17,-50.71754714201236,-76.54978824561385,0.41575546850893186,0.268,0.0425,-1.6,moon,0.26287102699279785
18,-23.070857019075763,-71.91458438848095,0.4134106765325933,0.272,0.045,-1.6,moon,0.35699892044067383
19,1.1911051209785388,-73.322660478576,0.4111864820487158,0.276,0.0475,-1.6,moon,0.32284116744995117
