gravity,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
-6.0,472.1681691165174,1.8828595804007224,0.75,0.01675794880568539,0.2751705005790273
-7.5,445.4973196361674,1.753864267509997,1.0,0.019669130188677393,0.24933548217015336
-9.81,354.1637871219242,1.2708728022367113,0.6,0.023515241249508063,0.17076188582464474
-11.0,314.58917594208356,1.1117487061644495,0.6,0.024165854795599323,0.15214396270840735
-12.0,272.75861693402555,0.9189114374990297,0.5,0.025532569009747586,0.1250116981755035
