gen,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
0,-385.05900399109515,-0.19504922943052613,1.0,0.19504922943052613,0.0
10,-373.26542171932573,-0.0816003382328063,1.0,0.0816003382328063,0.0
20,-355.14705832713923,-0.2545532973492145,1.0,0.2831247203151535,0.059907096655870684
30,-262.82776311911766,-0.03811493739887392,1.0,0.4857757237328932,0.4705936114367278
40,14.039160583716614,0.9939568256940108,1.0,0.003983080725088619,0.788304402031934
50,69.30129938377654,1.1536933242144054,1.0,0.0024421314293297494,0.7325586051411179
60,-91.55620278293088,0.16848034717146154,0.9,0.48396089831743316,0.2139358201433898
70,78.29064488278767,1.1140136786724972,1.0,0.0026099131169594297,0.6217930811186946
80,-245.84403406515085,-0.23933474496624427,1.0,0.7394329167622604,0.2436604450355683
90,74.56859418369996,1.2217446044683036,1.0,0.0006099747273037614,0.8953103515592323
100,88.60634450192262,1.1947848063686561,1.0,0.11234502634178004,0.8372183633042869
110,117.27291480024016,1.3330674110688576,1.0,0.001067424025967725,0.8214359593011487
120,94.76466337809698,1.2775722261192592,1.0,0.002277226131417319,0.8542338345435331
130,187.93925155971692,1.62831820174794,1.0,0.0005593605536907736,0.9805781242710543
140,189.29330771006556,1.5946289368125186,1.0,0.006756995565341146,0.8336318353386464
150,145.94174964779103,1.4453888923133402,1.0,0.006946898773650537,0.8411582154695776
160,215.77282085755937,1.711389428179033,1.0,0.0008256498969020467,0.8803254244751534
170,196.60414764144926,1.6432396161533578,1.0,0.0031909564646751707,0.9234062129528381
180,147.32927252650157,1.3270442509303813,1.0,0.10387568323702194,0.6017307325319046
190,197.2891631343632,1.6508206178770137,1.0,0.00206501195213516,0.9434555978363962
200,-92.12686142591096,0.28835422364033747,1.0,0.4612238226016351,0.3353203953034783
210,187.5143296370423,1.613188850638981,1.0,0.0023911420117361777,0.9104878178480108
220,147.3638679686034,1.416734084802872,1.0,0.007393517561263734,0.7275352606187397
230,198.23819759587914,1.6848837375898214,1.0,0.008126079351648179,0.9713316983997021
240,122.94516954783936,1.4102291553088286,1.0,0.0023653962851362164,0.9343732418098953
250,115.65577340786642,1.2573076210425662,1.0,0.02650235245888185,0.6532359319771425
260,192.26422577812315,1.6428918262698375,1.0,0.0062150644484844485,0.977826513653824
270,160.40763905217523,1.56090351473951,1.0,0.0008931634526616533,1.0187428331668429
280,99.74227779132573,1.3082633414680997,1.0,0.0010507145554468425,0.8957733939919328
290,101.41344186313479,1.3156458668356974,1.0,0.001336433503739159,0.8432094673186505
300,118.25835531630977,1.3833391360156195,1.0,0.00135485949058264,0.9208987153427826
310,88.60018883791483,1.280224197906323,1.0,0.0013021520893137736,0.8857170804982752
320,116.76787031823582,1.3377821806264758,1.0,0.007186667509963933,0.8164339127896489
330,189.91271813806404,1.6011287346079626,1.0,0.003533340169230527,0.8377912867091147
340,167.94605932983222,1.5536815636598316,1.0,0.0021599470322917836,0.9394972079029984
350,194.65082467940925,1.6218027479927764,1.0,0.006797873184399876,0.8790327928690829
360,226.07477733289457,1.7697387765212376,1.0,0.007051225404178812,0.9697679649319731
370,224.08008961194037,1.6333631515038398,1.0,0.008547607498200282,0.6604438948013491
380,297.0981832458434,1.791521592200174,1.0,0.09647925076077649,0.6072156768614921
390,735.6047399179564,3.861227587301164,1.0,0.009309296448066046,0.9269048014393375
400,899.4202975115746,4.110983639435842,0.5,0.16639110104954474,0.6203710069228063
410,1052.9403673252282,5.423099646233181,0.9,0.015765333268641338,0.9955790541251399
420,822.2115419550162,4.293632303982133,0.9,0.009373844672508699,0.9448565001182964
430,1161.493516355929,5.426316251144659,0.3,0.0174043833762343,0.7957568986913207
440,857.2627804661275,4.744184845262721,1.0,0.015453533769559435,1.1742259375076727
450,957.0926472974272,4.469719244190474,0.6,0.1043987417573905,0.6557772499938148
460,1299.2476172119964,6.048712757221482,0.4,0.007542322861740986,0.8276093988273473
470,1291.4306830775636,6.056425723922128,0.4,0.029296542408653446,0.8287964381953005
480,1009.4041226148044,5.015118971015447,0.7,0.0050376112001154225,0.9422532582381379
490,1170.142813397095,5.467406941112998,0.3,0.0018797312305150102,0.7974025767190773
