arm,gen,n_seeds,median_score,q1_score,q3_score,mean_score
fixed_gravity,0,11,-286.44019758962406,-299.383730614908,-258.1578667895236,-292.90077727947295
fixed_gravity,5,1,-443.9398411333928,-443.9398411333928,-443.9398411333928,-443.9398411333928
fixed_gravity,10,10,-108.52099344520549,-162.06627776328224,-15.462028705327619,-92.04137114119331
fixed_gravity,20,10,4.871595100732842,-10.90919724417459,13.469722794472524,-2.4104180563707422
fixed_gravity,30,10,32.36151090390291,28.365289758115175,35.206460357247074,29.346460464727805
fixed_gravity,40,10,-4.410313401498185,-29.877823865726256,29.915656199813263,-18.695020970092326
fixed_gravity,50,10,44.27789948166638,2.0375118828521295,92.31654679946564,48.63013837009302
fixed_gravity,60,10,115.91559098887016,61.37938609953824,161.90810460069545,93.85100507410355
fixed_gravity,70,10,136.8726998371883,50.42947278200059,170.19521524967277,122.38198458172405
fixed_gravity,80,10,173.781040082117,132.48232911915485,191.60657370263473,160.80945673915622
fixed_gravity,90,10,188.75396834675797,147.31946056779975,240.5455240073133,191.7205356615446
fixed_gravity,100,10,227.68035796979552,205.66398754534316,265.51718053146317,226.43550875752513
fixed_gravity,110,10,276.0510821599474,177.32983418071888,281.98262168311356,197.08061690889892
fixed_gravity,120,10,232.7169207786348,208.3408358440535,275.55633926832246,237.61603731358946
fixed_gravity,130,10,196.34293169749293,170.74636725832963,250.93011469067253,231.34256903941596
fixed_gravity,140,10,244.21548043820954,183.39980123590865,274.9263955387245,230.53380240758756
fixed_gravity,150,10,239.78215662078526,221.56152348104098,276.2224111228128,299.16045227337355
fixed_gravity,160,10,263.2388205588113,191.37729885917867,455.0635742703223,300.53188300067495
fixed_gravity,170,10,297.9791461452288,259.4843178983874,376.2439907106018,381.2023797912021
fixed_gravity,180,10,313.02733152955386,270.9234772387982,350.81538133274057,360.64971192502287
fixed_gravity,190,10,340.5991297394427,259.665351974503,573.0524909091833,400.7077837633568
fixed_gravity,200,10,370.36719385370805,314.4415441981216,577.1492292959913,443.7956265229285
