gen,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
0,-354.83663933753587,-0.08016620754850202,1.0,0.08074871921448697,0.005601073711393509
10,-384.863939893507,-0.11302224303604377,1.0,0.11302224303604377,0.0
20,-356.30528344380144,-0.09809290675842358,1.0,0.09809290675842358,0.0
30,-164.8263910611766,0.35367808478420526,1.0,0.1631707663341561,0.5238558748796456
40,-354.9906908788609,-0.22710396390568516,1.0,0.23582546935233523,0.010293339603847386
50,-189.85989355633382,0.1684471528197625,1.0,0.4130715337159751,0.4856048618145737
60,-378.8037072325013,-0.5975520592893624,1.0,0.7725731097213661,0.13092073996378079
70,-250.20566631999236,-0.17203950761377018,1.0,0.7248733277834913,0.3525374707150392
80,-365.5046550429291,-0.4062882931536511,1.0,0.5529126221112509,0.1458541412798982
90,-304.7650309169715,-0.14267069616824407,1.0,0.5690395498926432,0.6018456487589594
100,-110.19217366589143,0.6110680940062874,1.0,0.19396669113094703,0.8755776042597541
110,-176.55861113677537,0.18759352738522486,1.0,0.531131618295453,0.5387495625566923
120,-29.103496961555503,0.8209325230524593,1.0,0.14172522299299345,0.7665373727241349
130,-38.02819598917629,0.8462289361167251,1.0,0.13821038573070604,0.9164906323950438
140,-80.87680740982154,0.6382527500857917,1.0,0.26321370648544656,0.7810385534558036
150,-19.244466462769253,0.8843872654682301,1.0,0.12685653210599285,0.8346459187717944
160,-55.289806903985074,0.7522733020848473,1.0,0.14530770390535852,0.7976117518559609
170,-48.580755698705694,0.7202597361759743,1.0,0.19250990551984914,0.7633373129920911
180,-22.22721915324248,0.8786414884260184,1.0,0.14527935154410873,0.9093954304456078
190,-19.67127488085996,0.8331582667806213,1.0,0.08499072055617042,0.7505699653219275
200,-31.17479455926093,0.832395091649528,1.0,0.05161496244117379,0.765154976301322
210,-36.64612067602864,0.80900769752724,1.0,0.08073966145908237,0.7679597596340829
220,-9.22870097365967,0.8982678077804647,1.0,0.0714263276784444,0.8143698252452587
230,-31.432860299596104,0.8628028074747691,1.0,0.11208607797739897,0.9363856150012886
240,-22.390892720635566,0.9029243465416927,1.0,0.09428930596755745,0.9614632159786123
250,-27.123845308127393,0.8737841675965614,1.0,0.10184716699313394,0.8930707532989979
260,-33.917236538512746,0.8289637126146177,1.0,0.04514443852860321,0.8631926725667596
270,-30.341062730593865,0.8697059426354814,1.0,0.04410259453570844,0.9486437428832295
280,16.947140343680154,1.0463573256196708,1.0,0.054735596487946195,1.0484846641465622
290,-26.09870587212405,0.8951539331264122,1.0,0.04637926706671823,1.015958659432501
300,75.74155953063119,1.312622899332239,1.0,0.057641610556005064,1.242697093004557
310,86.8888715249752,1.2632636180680008,1.0,0.032022344031302614,0.9241549097951689
320,213.57216930917133,1.6191994020555402,1.0,0.25214130585103506,0.8938740553024809
330,129.88643121181784,1.1006574298975909,1.0,0.4275211681291996,0.6261864685264573
340,351.4103358216556,2.2625345837715627,1.0,0.07226142689444236,0.9788118129147174
350,613.2090370362347,3.0516254085345538,1.0,0.665828895947971,0.7689511270873816
360,414.6208643214912,1.8926587155457135,0.7,0.9102953789203685,0.8304329747012215
370,442.2899885858716,1.9671273225293437,0.8,0.7586779062148833,0.5278395580138611
380,292.32661407106787,1.2936256393644707,0.4,1.3130993016197274,0.3531387604016383
390,540.4857068821852,3.250693235180873,0.9,0.30505068926532436,1.2354632628760351
400,447.3025450586175,2.5373346570154305,0.9,0.37897334366654223,0.9848548272929841
410,879.4754343604491,4.484843933144153,0.6,0.3896298162501607,0.7935620433131555
420,372.7042374547412,2.5111478585602844,1.0,0.19561396926543875,1.03399389147348
430,807.8648857209129,3.8227863058057245,0.5,1.0114977109981769,0.7064180508623645
440,1078.042062641792,5.143410787274765,0.1,0.4314672979969786,0.7693966122755355
450,1142.3027332568886,5.657847680967484,0.3,0.49736639528079224,0.8599681119394724
460,916.6812792624253,4.66962882030572,0.6,0.6182725232211338,0.9271984505745641
470,1145.7197581355672,5.11316509976689,0.0,0.43458499063381756,0.6934687613000884
480,827.3720747556283,3.6098429479136085,0.1,1.044491060870901,0.5884921772747426
490,659.4192224945621,3.7521225501081985,0.9,0.2676794592614061,0.951673457160218
