gen,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
0,-342.6829575238125,-0.18272051236882988,1.0,0.18272051236882988,0.0
10,-311.74425177794876,-0.1533336927890884,1.0,0.16736574460143167,0.022725688210734195
20,-379.0876175699748,-0.5894685786017655,1.0,0.6014716852045703,0.010234711138509607
30,-376.71123887577016,-0.5400616428909624,1.0,0.6359830273454372,0.08671313567567385
40,-371.4564612828318,-0.6829890830924963,1.0,0.759141422966151,0.05048042848353355
50,-350.94902603330854,-0.6265325910309125,1.0,0.8486729313163577,0.1396230530711446
60,-336.77210043019227,-0.2738154577950703,1.0,0.3640382744097487,0.08850352756331296
70,-318.0451235616646,-0.22561739527614919,1.0,0.420073778076892,0.23232941802326054
80,-288.6446028180411,-0.04465475039129771,1.0,0.14962222203744405,0.11534911932200606
90,-191.22632921137787,0.08253297373524525,1.0,0.4464399337828236,0.316735952325057
100,-360.34436333065184,-0.6922063385858557,1.0,0.893550526699315,0.17780963784226086
110,-272.37600092188626,-0.1749116757793646,1.0,0.335955433115951,0.14377503572137948
120,-240.12222368409712,-0.1138342274569982,1.0,0.5366769184774456,0.2276585849878389
130,-153.93901941388708,0.13833887649207027,1.0,0.6431951201614731,0.49677926294724256
140,321.201465473741,2.491649492363652,1.0,0.2472493350337491,0.9655241035263258
150,-294.2444949122472,-0.3435602004940943,1.0,0.7407796168584311,0.19097832184608227
160,290.3583016394058,1.2767240772774575,0.5,0.13873266664436826,0.28169494219057295
170,488.61948651598175,3.0177973330749444,1.0,0.17562989868641174,0.984884370258839
180,475.34206950527533,3.2033917598016806,1.0,0.26617005869130905,0.9714114316856943
190,247.4482243068262,2.197733557307756,1.0,0.346231990254433,0.7487860667902947
200,646.9898000821161,3.7711806118506517,0.9,0.17972341443611697,1.0698753186731007
210,659.9633802011164,4.363949921853032,1.0,0.002760952170644819,1.5865858595617706
220,629.5076768011606,3.5475650671794186,1.0,0.24442744450965623,0.9220758768762674
230,953.6502434272345,5.888007668649411,0.9,0.013369587611266137,1.4415271830911476
240,544.955379154179,3.5559170145716026,1.0,0.2834563040062694,0.8830387257505248
250,744.8761939327128,4.454545408080465,1.0,0.0010335144379150982,1.2286455837002945
260,704.110055328949,4.68946786999444,1.0,0.0021177083855519396,1.7243401641124407
270,965.9392891981736,6.2801177060571245,1.0,0.008915065429348803,1.9197668726421515
280,804.12814344681,5.312271171441873,1.0,0.0017421624602481107,1.8002000575034516
290,629.3622006478041,4.184727351776062,0.9,0.11282722014069131,1.3786813270725018
300,214.45840188341293,1.7732425757471724,1.0,0.0015701687839835582,0.963186865381866
310,1197.2203995664581,7.664288228389135,1.0,0.0023909374677252527,2.0369961407888852
320,672.7363709334055,4.244738701443731,0.9,0.01590958750041948,1.4090363995711814
330,756.997829969617,4.645872014466258,0.8,0.22315384110089204,1.2044458694455638
340,58.095667630148206,1.3197089694470174,1.0,0.544952743503592,0.5702348233694413
350,1220.005653949466,7.192150390050019,0.7,0.00789161790149125,1.4767183404376534
360,828.4904202725542,5.296008257687634,1.0,0.11316894897514404,1.6053396740871613
370,1335.399611769078,8.617848312127423,0.9,0.004904052904057377,2.2244486909112244
380,966.9995935800728,6.070074193377695,0.9,0.00516700189647339,1.5805624326956467
390,774.910445316993,5.238382227560131,1.0,0.13252162309929466,1.6698881593168131
400,1093.8460395897741,6.465800495827128,0.6,0.009449502161661825,1.379033427894735
410,783.1694258842974,4.670911320832344,0.9,0.09987122598377504,1.2662946612451014
420,1069.4235592365837,6.884798430084463,1.0,0.18636682738992177,1.3511812918994823
430,2520.6298657424873,15.249907074476814,0.1,0.016494001399635826,2.000450950576165
440,1874.9880700303322,11.512834846345246,0.7,0.11267779703780109,2.0730920051414117
450,1405.1319078129147,8.931480753623774,0.9,0.0010645118260359852,2.059102668010222
460,925.1450628884493,5.8381668768529025,1.0,0.17945362544638438,1.6918877032851458
470,1423.378288439692,8.860274937568116,0.8,0.26675047419949693,1.9565563864070608
480,1172.0772309189815,7.631060792324132,0.9,0.0009909659623515965,2.0562199963499403
490,2183.03147262722,13.511526965704903,0.6,0.0009293742035801338,2.1514746470047994
