gravity,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
-6.0,473.4092932030644,1.9400226443484165,1.0,0.6375532733154932,0.4796860516573106
-7.5,1252.1544116654782,5.658632208198934,0.0,0.016586806143869766,0.7094023767928506
-9.81,1268.285220089229,6.001913787280936,0.7,0.01656879151065746,0.7936379767814543
-11.0,1100.4075886310704,5.381196008981946,1.0,0.05107603179288883,0.8463781402363508
-12.0,686.7630745911285,3.7370341477770497,1.0,0.017750666821592192,0.9860061324130711
