gen,best,mean,sigma,gravity,phase,elapsed_s
0,-331.20651717830515,-390.85740105704934,0.4904329405288938,-2.0,warmup,1.4147870540618896
1,-306.5476177619649,-374.28239486192524,0.4823530405659156,-2.0,warmup,0.10858011245727539
2,-296.39038937903325,-372.09718113267553,0.4752919128826351,-2.0,warmup,0.11563801765441895
3,-295.6479690834063,-357.2526823018372,0.46882836804380984,-2.0,warmup,0.1515488624572754
4,-306.110527677231,-353.69796399039797,0.46297956761660874,-2.0,warmup,0.13379693031311035
5,-289.99325768757217,-353.2577811460146,0.45777550077330803,-2.0,warmup,0.14795279502868652
6,-301.5538751781215,-347.79624511803445,0.45293445052318587,-2.0,warmup,0.16145920753479004
7,-299.4166278083207,-352.0687937905901,0.4484826205416475,-2.0,warmup,0.1374819278717041
8,-312.1959506111435,-356.18387193447404,0.44435286897698695,-2.0,warmup,0.13042211532592773
9,-300.7357409679402,-348.63690225499863,0.44049891006442893,-2.0,warmup,0.21094107627868652
10,-284.2700891485889,-347.7911975157992,0.4368078436880222,-2.0,warmup,0.17022418975830078
11,-293.19521417570473,-338.8913999321175,0.43345157944875456,-2.0,warmup,0.14949989318847656
12,-287.6420517017795,-327.4827696997409,0.4304221859737916,-2.0,warmup,0.21931982040405273
13,-217.655747574714,-328.39824980756214,0.42761225445969264,-2.0,warmup,0.1901707649230957
14,-290.21425715883623,-322.94669163254537,0.4250390851832575,-2.0,warmup,0.17495512962341309
15,-285.5544271364424,-321.2166918881405,0.42261411902792717,-2.0,warmup,0.2332746982574463
16,-170.22974640492203,-310.3741914968159,0.4205746416309932,-2.0,warmup,0.25285792350769043
17,-247.09238226991806,-316.7854794805827,0.4187194730420884,-2.0,warmup,0.2452678680419922
18,-131.52774851774453,-311.6028730398026,0.4168199042207253,-2.0,warmup,0.255648136138916
19,-278.4632450814699,-320.7232676188558,0.4149886350378649,-2.0,warmup,0.2640109062194824
20,-250.42921538063297,-309.23803704204096,0.41310800980484863,-2.0,warmup,0.275773286819458
21,-223.2647030775581,-319.0210244866569,0.4114410819711967,-2.0,warmup,0.2650790214538574
22,-235.20620159377754,-310.92137271765415,0.40981414150839895,-2.0,warmup,0.2841157913208008
23,-194.42273694383553,-298.4469003237741,0.4083944452273629,-2.0,warmup,0.2973160743713379
24,-170.08071708385236,-295.22134726340926,0.40708587516355976,-2.0,warmup,0.3159632682800293
25,-169.719046941453,-290.35133067215384,0.4058725514789534,-2.0,warmup,0.3171532154083252
26,-228.08179586393032,-303.8497450231918,0.4046553946939535,-2.0,warmup,0.2479848861694336
27,125.52000613029021,-289.87072634836557,0.4033650612892676,-2.0,warmup,0.3969998359680176
28,-104.54420012491136,-292.98199133087553,0.40218955989375366,-2.0,warmup,0.3564779758453369
29,-87.82460931896577,-262.87702126257716,0.4009752063044529,-2.0,warmup,0.47474217414855957
30,-93.86037218119345,-284.98033817448913,0.39988608332994063,-2.0,warmup,0.4169199466705322
31,-148.72428045348954,-279.7714689370848,0.39887100864168024,-2.0,warmup,0.36632585525512695
32,-9.49625587330909,-287.03982014082465,0.3980543562586854,-2.0,warmup,0.40212512016296387
33,-148.4425174020791,-266.46815203579683,0.3971793431931267,-2.0,warmup,0.4451160430908203
34,-34.33816003481375,-252.75012360764558,0.3964198950087877,-2.0,warmup,0.45216798782348633
35,-66.58983565085599,-262.52229986840086,0.3957694803912241,-2.0,warmup,0.3873600959777832
36,-78.33378567737799,-258.58295108440234,0.39526198909864213,-2.0,warmup,0.48215484619140625
37,62.234507221381136,-219.87748609522615,0.3947143712742963,-2.0,warmup,0.48198485374450684
38,16.401056564043575,-227.90624959185794,0.3942743140346603,-2.0,warmup,0.4832301139831543
39,142.12754174233586,-203.96331708111703,0.3940924660219029,-2.0,warmup,0.6143498420715332
40,131.5707462743623,-211.7184444994783,0.3940441928022145,-2.0,warmup,0.4983060359954834
41,-23.889421191609532,-192.02460482271516,0.39402510798432766,-2.0,warmup,0.4179689884185791
42,61.0569866647568,-170.9319739450704,0.3940592007948466,-2.0,warmup,0.5966920852661133
43,73.26133046335566,-156.3570032348215,0.3940134415533576,-2.0,warmup,0.5237150192260742
44,25.137570288922316,-173.35649880625851,0.3940494119282922,-2.0,warmup,0.5812087059020996
45,130.55980541911427,-172.74276688862204,0.39410472864924034,-2.0,warmup,0.6102890968322754
46,-15.806928409118314,-215.18563666255187,0.39422076165370223,-2.0,warmup,0.4185671806335449
47,-20.052995460192246,-173.02290969264143,0.3942993889679162,-2.0,warmup,0.589648962020874
48,32.68176898242306,-195.30607676931726,0.39455813672218726,-2.0,warmup,0.5406718254089355
49,89.75968144559096,-135.37962017870376,0.3948743800476802,-2.0,warmup,0.5521929264068604
50,-25.563433860820467,-149.3109812797762,0.39528578964484173,-2.0,warmup,0.5448882579803467
51,28.221739864469935,-153.40179533965522,0.3957349240178078,-2.0,warmup,0.4537770748138428
52,-9.992728513099186,-178.3209937161067,0.3962866143638768,-2.0,warmup,0.45900607109069824
53,67.53760095137731,-139.30992214360285,0.396902408894459,-2.0,warmup,0.5557761192321777
54,106.67103682941207,-115.5687133295219,0.3974535150720899,-2.0,warmup,0.5924539566040039
55,397.9675781704782,-101.26847163249008,0.3980619964996314,-2.0,warmup,0.5781040191650391
56,55.25056890901802,-144.67189038690304,0.3985154095913634,-2.0,warmup,0.5331821441650391
57,143.0061847271196,-133.52594840752818,0.39900197758944045,-2.0,warmup,0.4828789234161377
58,123.77387219467467,-127.30205155653042,0.3994654774362094,-2.0,warmup,0.4773738384246826
59,138.16066189014725,-118.92962846601435,0.3999246929673913,-2.0,warmup,0.5131680965423584
60,82.16226016870367,-141.82142904883813,0.40029464009721666,-2.0,warmup,0.48984789848327637
61,27.726363225744986,-69.97458669671532,0.4005537974232531,-2.0,warmup,0.6138298511505127
62,117.83867276986064,-101.38717795499034,0.40092620727501344,-2.0,warmup,0.6255731582641602
63,86.24145436644388,-68.08400609373525,0.40120649834962285,-2.0,warmup,0.5999219417572021
64,162.85499918573404,-99.790508566021,0.4015022956421507,-2.0,warmup,0.5152912139892578
65,76.69993888604803,-71.90604932607991,0.40171607243284985,-2.0,warmup,0.5775368213653564
66,57.44738014982939,-89.16831518122186,0.40191511742827124,-2.0,warmup,0.6099071502685547
67,182.68336887094378,-60.45004866171339,0.4020641991164879,-2.0,warmup,0.5830221176147461
