gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-52.70092717664431,-74.45845816738202,0.49054386334637806,0.2,0.0,-1.6,moon,2.205199956893921
1,-53.937513642187014,-71.19611594531281,0.4821411103410854,0.20400000000000001,0.0025,-1.6,moon,0.296586275100708
2,-47.44222056910362,-66.27740602219606,0.47461106814391457,0.20800000000000002,0.005,-1.6,moon,0.3105041980743408
3,-44.51255621453573,-64.42768806217958,0.4679426788034526,0.21200000000000002,0.0075,-1.6,moon,0.39224815368652344
4,-47.854052038489776,-64.45774475559197,0.461795285867297,0.21600000000000003,0.01,-1.6,moon,0.4082300662994385
5,-49.69534546989082,-64.90565756043387,0.4561297523333946,0.22000000000000003,0.0125,-1.6,moon,0.3384377956390381
6,-38.856744657403695,-63.11426422962633,0.4509663235179855,0.224,0.015,-1.6,moon,0.44971227645874023
7,-39.54277429217594,-61.37676421013634,0.44632641434109105,0.228,0.0175,-1.6,moon,0.44797301292419434
8,-43.50796168830173,-61.14457311466058,0.44205129104269375,0.232,0.02,-1.6,moon,0.5025649070739746
9,-47.459252310829164,-64.6567950868917,0.4382689264989267,0.23600000000000002,0.0225,-1.6,moon,0.42833781242370605
10,-47.134212159383914,-62.29311371893264,0.4347652332527699,0.24000000000000002,0.025,-1.6,moon,0.42350220680236816
11,-19.76906614185103,-59.990760836545675,0.4314546200158712,0.24400000000000002,0.0275,-1.6,moon,0.553555965423584
12,-39.47538117627271,-59.843604213612956,0.4284511078801908,0.248,0.03,-1.6,moon,0.5646929740905762
13,-35.89906256761817,-61.55722344760365,0.4255803613215383,0.252,0.0325,-1.6,moon,0.48871684074401855
14,-37.683575476067396,-61.73483835738998,0.4228689912342176,0.256,0.035,-1.6,moon,0.515995979309082
15,-15.99859167303858,-57.897124021514436,0.4204731606067016,0.26,0.0375,-1.6,moon,0.6935427188873291
16,-31.490565426404,-63.48090877750669,0.4181948687891736,0.264,0.04,-1.6,moon,0.5547969341278076
17,-21.035937059646866,-69.37389083932372,0.4159068429937735,0.268,0.0425,-1.6,moon,0.4924437999725342
18,-35.58983483448381,-63.14377828955526,0.41386303884163167,0.272,0.045,-1.6,moon,0.6003468036651611
19,19.546334507959372,-52.97543535812524,0.4119423780688521,0.276,0.0475,-1.6,moon,0.7665660381317139
20,10.100186118542366,-58.06438506988185,0.41003700554267297,0.28,0.05,-1.6,moon,0.7592120170593262
21,26.384775346976813,-51.41479962751485,0.40837560926467087,0.28400000000000003,0.0525,-1.6,moon,0.8202121257781982
22,171.7446512875688,-39.580523528953265,0.40667645245984696,0.28800000000000003,0.055,-1.6,moon,0.8683269023895264
23,44.73124451639734,-48.69894245593632,0.4050633498368956,0.29200000000000004,0.0575,-1.6,moon,0.8463342189788818
24,120.64734881059998,-43.715180034560106,0.4035388251389561,0.29600000000000004,0.06,-1.6,moon,0.8194019794464111
25,164.79594993405613,-38.54932531856856,0.40207844019566846,0.30000000000000004,0.0625,-1.6,moon,1.1371541023254395
26,207.53485701290205,11.804749162204905,0.4007157144661721,0.30400000000000005,0.065,-1.6,moon,1.2240839004516602
27,207.44575176255444,19.799494997729873,0.39968578738089505,0.30800000000000005,0.0675,-1.6,moon,1.1802678108215332
