gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-29.08307048204951,-75.21524618549267,0.49036063814358044,0.2,0.0,-1.6,lv0(a=0),1.7137117385864258
1,-57.19297925896217,-73.00666603540893,0.4820921051223777,0.20400000000000001,0.0025,-1.6,lv0(a=1),0.18410921096801758
2,-58.07529858968578,-69.7487616553175,0.4746977664922731,0.20800000000000002,0.005,-1.6,lv0(a=2),0.18437767028808594
3,-58.12435285805833,-67.25094808243513,0.46791251462265393,0.21200000000000002,0.0075,-1.6,lv0(a=3),0.21298909187316895
4,-55.23044105622349,-69.36880957668197,0.4616556693016515,0.21600000000000003,0.01,-1.6,lv0(a=4),0.21768903732299805
5,-47.38380303870724,-66.22915320406082,0.45592473694315094,0.22000000000000003,0.0125,-1.6,lv0(a=5),0.22132611274719238
6,-42.229873262757394,-62.81656912971967,0.4506078210195797,0.224,0.015,-1.6,lv0(a=5),0.2638731002807617
7,-47.99062500019682,-65.14257531459933,0.445770978748245,0.228,0.0175,-1.6,lv0(a=5),0.2541050910949707
8,-48.28362704455469,-64.34773661673876,0.4412197392160719,0.232,0.02,-1.6,lv0(a=5),0.24185585975646973
9,-47.07748258318103,-65.2221472974447,0.43695029796244467,0.23600000000000002,0.0225,-1.6,lv0(a=5),0.31157660484313965
10,-42.281516918627595,-63.58774891803809,0.43302757328237135,0.24000000000000002,0.025,-1.6,lv0(a=5),0.30959486961364746
11,-46.16391786042013,-64.28252234183205,0.42946606784839886,0.24400000000000002,0.0275,-1.6,lv0(a=5),0.3649442195892334
12,-11.22840166563148,-63.98558693789662,0.42610235297941207,0.248,0.03,-1.6,lv0(a=5),0.3503389358520508
13,-46.40720184644013,-66.28538076401409,0.4230508859527488,0.252,0.0325,-1.6,lv0(a=5),0.3789510726928711
14,-11.314464542670642,-64.71895952693053,0.42031742746498163,0.256,0.035,-1.6,lv0(a=5),0.31624412536621094
15,-15.656010374384906,-65.4804761478119,0.4176525636468264,0.26,0.0375,-1.6,lv0(a=5),0.4192831516265869
16,-30.137579064585363,-69.19304329368124,0.41509788312106083,0.264,0.04,-1.6,lv0(a=5),0.35053515434265137
17,22.001130558797,-65.59755038311971,0.4126669759696207,0.268,0.0425,-1.6,lv0(a=5),0.325131893157959
18,-21.88884544813303,-63.013319305415735,0.4103541503122078,0.272,0.045,-1.6,lv0(a=5),0.46020984649658203
19,-16.297411118507622,-66.66970795916596,0.40817355468315175,0.276,0.0475,-1.6,lv0(a=5),0.437971830368042
20,-17.86026249496284,-68.19890579896055,0.4060340830615332,0.28,0.05,-1.6,lv0(a=5),0.42369890213012695
21,-25.16404895177075,-65.80323185343538,0.4040146713395083,0.28400000000000003,0.0525,-1.6,lv0(a=5),0.4828920364379883
22,12.663910149488885,-60.523302886275566,0.40205822048097817,0.28800000000000003,0.055,-1.6,lv0(a=5),0.522507905960083
23,-30.081953486565023,-71.55080928007776,0.400161805459911,0.29200000000000004,0.0575,-1.6,lv0(a=5),0.4868957996368408
24,-22.880107501677713,-72.25169734248502,0.3984994405921889,0.29600000000000004,0.06,-1.6,lv0(a=5),0.46222901344299316
25,1.947842413930239,-67.60494894745307,0.39704042193402306,0.30000000000000004,0.0625,-1.6,lv0(a=5),0.49620485305786133
26,-25.496145082772543,-71.50598122337476,0.3957862227273302,0.30400000000000005,0.065,-1.6,lv0(a=5),0.48798108100891113
27,42.46129999042474,-67.26193277989043,0.3947791240138229,0.30800000000000005,0.0675,-1.6,lv0(a=5),0.5229501724243164
28,-30.435477575200377,-73.15289955586294,0.3938822376910957,0.31200000000000006,0.07,-1.6,lv0(a=5),0.4180908203125
29,51.146812297534716,-66.5554939964674,0.39287877541083743,0.316,0.0725,-1.6,lv0(a=5),0.5083022117614746
30,-8.403917655230714,-65.49607308810275,0.39185328926545687,0.32,0.075,-1.6,lv0(a=5),0.6002509593963623
31,3.974143946019024,-63.089792778374466,0.3908290790689883,0.324,0.0775,-1.6,lv0(a=5),0.6398849487304688
32,26.466050129288416,-59.032117354372,0.3898210505731631,0.328,0.08,-1.6,lv0(a=5),0.46514081954956055
33,53.532593179757725,-49.942574224284954,0.38884563547327466,0.332,0.0825,-1.6,lv0(a=5),0.5549929141998291
34,103.3394273580351,-57.64377803025637,0.3879096541952156,0.336,0.085,-1.6,lv0(a=5),0.6223220825195312
35,22.556867055529352,-59.60377380109603,0.38681403639634576,0.33999999999999997,0.0875,-1.6,lv0(a=5),0.5173211097717285
36,32.12688036020765,-42.96562903621624,0.3859104246319341,0.344,0.09,-1.6,lv0(a=5),0.6963469982147217
37,14.797762740934209,-57.373876707183534,0.3851863321824078,0.348,0.0925,-1.6,lv0(a=5),0.5685551166534424
38,93.92734911309685,-45.47967441707241,0.3845377772353391,0.35200000000000004,0.095,-1.6,lv0(a=5),0.5755510330200195
39,69.95842200408379,-48.138097074612176,0.3838301110241822,0.35600000000000004,0.0975,-1.6,lv0(a=5),0.7119250297546387
40,89.22669506540278,-48.448682148891166,0.3830707468281653,0.36000000000000004,0.1,-1.6,lv0(a=5),0.6173830032348633
41,33.378635453161046,-48.24747046276167,0.38223431073370095,0.364,0.1025,-1.6,lv0(a=5),0.637066125869751
42,96.04665269664012,-40.4729993177113,0.38146552066070355,0.368,0.105,-1.6,lv0(a=5),0.7518107891082764
43,134.57969628781038,-36.01938606459265,0.3806329525415579,0.372,0.1075,-1.6,lv0(a=5),0.7831032276153564
44,53.044483188911805,-44.041358604548044,0.37981590212364436,0.376,0.11,-1.6,lv0(a=5),0.7496621608734131
45,110.89028514653573,-36.79882026233182,0.3790564283392184,0.38,0.1125,-1.6,lv0(a=5),0.8259110450744629
46,184.50204847794774,-12.646230129273237,0.37822156093172726,0.384,0.115,-1.6,lv0(a=5),0.8420920372009277
47,166.34307517452922,-18.558942337968592,0.377376189487961,0.388,0.1175,-1.6,lv0(a=5),0.8187692165374756
48,172.88252668364365,2.0080625019422844,0.3764772711149199,0.392,0.12,-1.6,lv0(a=5),1.0680007934570312
49,199.84557179201167,-6.386460788372301,0.37574704591598734,0.396,0.1225,-1.6,lv0(a=5),1.1810028553009033
50,175.67505513093775,16.01337201058473,0.3750024950277733,0.4,0.125,-1.6,lv0(a=5),1.1654589176177979
51,226.02281332577047,33.445986871822434,0.37438254239052754,0.404,0.1275,-1.6,lv0(a=5),1.2212598323822021
52,216.15002773696165,41.46384130798248,0.3737539957992918,0.40800000000000003,0.13,-1.6,lv0(a=5),1.5389370918273926
53,270.0636408751239,81.45238419521748,0.37328823902384484,0.41200000000000003,0.1325,-1.6,lv0(a=5),1.9633567333221436
54,524.6407230960242,108.37494182923717,0.3728881721646016,0.41600000000000004,0.135,-1.6,lv0(a=5),1.890732765197754
55,287.95516571867853,59.88380897435525,0.3724807856203899,0.42000000000000004,0.1375,-1.6,lv0(a=5),2.005561113357544
56,320.2882436910952,104.37988101288286,0.37217644482959134,0.42400000000000004,0.14,-1.6,lv0(a=5),2.0664491653442383
57,309.4368664866047,146.88553094358548,0.3719350806238581,0.428,0.1425,-1.6,lv0(a=5),2.1736361980438232
58,394.19563129315793,118.2863755659279,0.3717185599243932,0.432,0.145,-1.6,lv0(a=5),2.2730860710144043
59,468.3089679322884,154.7596772684662,0.37154447790769707,0.436,0.1475,-1.6,lv0(a=5),2.118252992630005
60,401.5505373348887,112.10121272302847,0.37154928595644104,0.44,0.15,-1.6,lv0(a=5),2.258223056793213
61,438.1189825984436,118.7654141816347,0.37154241245239533,0.444,0.1525,-1.6,lv0(a=5),2.244155168533325
62,427.4236016122715,169.23678432333418,0.3715075267293497,0.448,0.155,-1.6,lv0(a=5),2.5479540824890137
63,547.8825133033265,143.49019363519167,0.37143538444233276,0.452,0.1575,-1.6,lv0(a=5),2.3065247535705566
64,440.02264524883475,149.94821921166076,0.3714210301524086,0.456,0.16,-1.6,lv0(a=5),2.772648811340332
65,637.0980042425564,151.10571052881204,0.37125984787430033,0.46,0.1625,-1.6,lv0(a=5),2.65505313873291
66,460.0530714337095,185.28984686034943,0.37114646664088685,0.464,0.165,-1.6,lv0(a=5),2.7636361122131348
67,467.931039201606,174.21986808067297,0.37104814338799247,0.468,0.1675,-1.6,lv0(a=5),2.7519500255584717
68,513.1719003922344,210.32325095115917,0.3710268663695837,0.47200000000000003,0.17,-1.6,lv0(a=5),2.7325923442840576
69,482.3016907938134,148.12975678799307,0.3711214291478457,0.476,0.1725,-1.6,lv0(a=5),2.506340980529785
70,476.7465343286223,156.66608286339837,0.3711805511577989,0.48,0.175,-1.6,lv0(a=5),2.4844579696655273
71,450.19823211384755,83.85219228664538,0.37125656040842403,0.484,0.1775,-1.6,lv0(a=5),2.2324438095092773
72,850.7322706505323,163.13707247237215,0.37135095035934695,0.488,0.18,-1.6,lv0(a=5),2.4762487411499023
73,590.5327062769236,190.30522942584878,0.3715007622145422,0.492,0.1825,-1.6,lv0(a=5),2.339350938796997
74,530.3214461940008,95.35464282266186,0.3716922146734138,0.496,0.185,-1.6,lv0(a=5),2.2825980186462402
75,464.315378628635,77.62864664632853,0.3717921126925514,0.5,0.1875,-1.6,lv0(a=5),2.1956639289855957
76,585.2852098675331,196.65740235147632,0.37181275713239476,0.504,0.19,-1.6,lv0(a=5),2.5485289096832275
77,496.21773230212153,108.50479084695493,0.3718933766432189,0.508,0.1925,-1.6,lv0(a=5),2.3333921432495117
78,570.4749776273641,193.21011876438757,0.37199494366727487,0.512,0.195,-1.6,lv0(a=5),2.143946886062622
79,600.2878555224362,211.8019745031116,0.37206063920245347,0.516,0.1975,-1.6,lv0(a=5),2.30617094039917
80,537.5531643821436,204.19123703768625,0.37208085780943245,0.52,0.2,-1.6,lv0(a=5),2.648397922515869
