gravity,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
-6.0,430.18299365173215,1.4823170005511135,0.25,0.022344313129085223,0.18972930414098665
-7.5,470.8410511426653,1.7387843221314188,1.0,0.015884901987133743,0.23451771606003913
-9.81,394.5283250989411,1.6212717856955075,1.0,0.016818017620912177,0.2538354833790429
-11.0,343.06720439330854,1.49884161252525,1.0,0.01772623020650262,0.25106708783850085
-12.0,275.30342383574174,1.2805724868154313,1.0,0.01783540057985151,0.2288010521090787
