gen,score,net_progress_m,fell,backward_distance_m,mean_forward_speed_mps
0,-415.8647778906399,-0.24799876537177584,1.0,0.24799876537177584,0.0
10,-305.13254650686883,-0.11121256911758763,1.0,0.11868788731277562,0.014102363994589398
20,-228.02358490001012,0.17614732927388624,1.0,0.08000732962648373,0.31705560991781556
30,-446.93305213644226,-0.7934070957226245,1.0,0.8011647851411581,0.00872608676737274
40,20.125875030621977,0.9833707501574105,1.0,0.011881766173654168,0.7102500285338533
50,-258.04415630728624,-0.3518668473524297,1.0,0.738708028188267,0.1601621123214893
60,-272.5861423052921,-0.5013271348268574,1.0,0.7494436399181424,0.09644685489447219
70,-11.365239336785402,0.7917151946470076,1.0,0.07422488382783814,0.5291149852501404
80,-404.23279233688976,-0.6765039257909115,1.0,0.78643533501054,0.04860019882404838
90,-159.09809031603146,0.29068063538495476,1.0,0.1513420112495321,0.3298342447731447
100,37.38142950967561,0.3720346904441805,0.9,0.7690327201402111,0.26188980324347805
110,139.7479673118267,1.4017290566926757,1.0,0.25532162890047777,0.5565571597957124
120,-404.27148906979266,-0.9020133585327071,1.0,0.9062109359329794,0.002508832880497632
130,252.69552188505537,1.8529980751131312,1.0,0.00663874641508363,0.886002117101803
140,297.83900850168374,2.002914644297938,1.0,0.005168097056634268,0.7991615321425029
150,121.64237858411916,1.2326590758486102,1.0,0.0984018204629769,0.5649433394508889
160,-37.29342916442148,0.5429307402951757,1.0,0.37227854285056156,0.4285312276754799
170,228.6216878459079,1.7005776723029271,1.0,0.00428691640267217,0.7681541921158828
180,322.36341009435694,2.296874722530476,1.0,0.005608379564182294,1.1371322036836538
190,399.9903978910139,2.806685899206145,1.0,0.007145919764137731,1.2164006052552896
200,868.4019243749183,4.783911834879189,1.0,0.006797315677379605,1.126273621644902
210,384.4409888708724,2.374308595861352,1.0,0.0067820391509513436,0.8440280311518246
220,428.6257598964652,2.616495467818182,1.0,0.009751096058291987,0.932862686794763
230,-64.17566699225509,0.5788571085563641,1.0,0.5436436167782419,0.4174216417658224
240,1063.8048558788537,5.498076407923925,0.7,0.00884263476621186,1.038346584823596
250,441.36912899393275,2.858673028426354,1.0,0.004953300120598622,1.1203037348703833
260,796.9862576181622,4.197069609263621,0.9,0.0046261521484883186,0.9378484598921568
270,519.1855899665607,3.152265347300171,1.0,0.006838816958458682,1.055337615523518
280,11.179595930343691,0.9187602129777022,0.9,0.6397791786321431,0.33848052314197685
290,415.6332677178293,2.782827309568381,1.0,0.007882651299002919,1.174794585234854
300,1244.9708452432421,6.485632593647432,0.7,0.006478213954630145,1.167688242588209
310,594.7118905443516,3.547303178880351,0.9,0.18752061552031737,0.8888637454747229
320,824.3558656215482,4.3666243932754165,0.8,0.005148566478676975,1.005200059997454
330,410.70884256077744,2.6991913567329786,1.0,0.006737473570465974,1.1320593785992261
340,1045.0683544868946,5.068147925144832,0.6,0.19781826093863947,0.7473336615784676
350,753.7206970359674,3.4616039971539707,0.4,0.2715892455561987,0.6069247100204851
360,1366.161656197199,6.242961675613546,0.0,0.006226507921203038,0.7811485229418436
370,1583.73112779424,7.978779719540417,0.3,0.014497994744926603,1.125027092907378
380,1164.0329167347877,5.314370075627643,0.4,0.21555023677373422,0.7496112655855068
390,1663.9784451544433,7.939474631687132,0.1,0.005371388037046478,0.9982384608736197
400,1595.1412003856992,7.576577301700111,0.1,0.12267054741032428,0.9872695319142897
410,1592.5288722979326,7.52915332836988,0.0,0.006584950271554324,0.9419672848301792
420,1478.4515939031453,6.903874182575142,0.1,0.005331949014119728,0.9106687132445106
430,1482.6632297933543,7.3757874720448955,0.3,0.009247780078297097,1.1186784656971291
440,1585.7386811337944,7.7810573072646365,0.1,0.09962071819004562,0.9859159095688333
450,1676.8579350627504,8.140060792610267,0.0,0.01948590174879265,1.0199433367948825
460,1483.0598826137052,7.421281798345291,0.3,0.015533746091691003,1.1189935246836231
470,1566.633070805181,7.864803985893654,0.4,0.005962423188163857,1.1559335814761948
480,1538.0823227184464,7.715796289897871,0.3,0.006412584684319876,1.1308692886581264
490,1452.63235628301,7.824548266289499,0.7,0.008247585268268492,1.2565977029659166
