arm,generation,mean_score,sem_score,mean_progress_m,sem_progress_m,n_seeds
random_variable_gravity,450,639.46,134.94,3.17,0.841,10
random_variable_gravity,460,665.2,184.62,3.42,1.095,10
random_variable_gravity,470,570.76,148.89,3.026,0.923,10
random_variable_gravity,480,704.36,160.17,3.637,0.998,10
random_variable_gravity,490,789.18,199.69,4.19,1.28,10
gradual_transition,0,-377.85,10.62,-0.254,0.07,10
gradual_transition,10,-332.89,13.34,-0.164,0.057,10
gradual_transition,20,-291.87,30.66,-0.036,0.102,10
gradual_transition,30,-257.96,31.96,-0.03,0.117,10
gradual_transition,40,-204.34,52.12,0.142,0.198,10
gradual_transition,50,-187.2,39.4,0.167,0.141,10
gradual_transition,60,-129.59,63.23,0.138,0.235,10
gradual_transition,70,-142.87,54.65,0.29,0.231,10
gradual_transition,80,-55.25,44.87,0.603,0.171,10
gradual_transition,90,-112.49,60.7,0.306,0.224,10
gradual_transition,100,12.67,33.94,0.693,0.16,10
gradual_transition,110,14.23,50.9,0.789,0.198,10
gradual_transition,120,-62.75,52.42,0.514,0.227,10
gradual_transition,130,-57.81,62.63,0.391,0.245,10
gradual_transition,140,-48.19,57.94,0.615,0.241,10
gradual_transition,150,57.72,30.46,0.994,0.107,10
gradual_transition,160,83.85,25.03,1.154,0.12,10
gradual_transition,170,101.49,18.74,1.177,0.074,10
gradual_transition,180,59.07,59.46,0.973,0.239,10
gradual_transition,190,79.04,42.75,0.969,0.191,10
gradual_transition,200,90.84,45.51,1.076,0.187,10
gradual_transition,210,133.35,21.52,1.228,0.085,10
gradual_transition,220,125.59,26.73,1.22,0.104,10
gradual_transition,230,103.66,41.34,1.082,0.202,10
gradual_transition,240,180.9,49.28,1.386,0.225,10
gradual_transition,250,243.35,54.25,1.688,0.279,10
gradual_transition,260,210.18,56.28,1.529,0.222,10
gradual_transition,270,198.17,38.02,1.508,0.194,10
gradual_transition,280,251.42,41.67,1.693,0.172,10
gradual_transition,290,306.19,119.48,2.046,0.594,10
gradual_transition,300,226.1,38.5,1.692,0.212,10
gradual_transition,310,274.06,32.0,1.77,0.159,10
gradual_transition,320,306.76,24.43,1.978,0.164,10
gradual_transition,330,376.41,72.1,2.344,0.415,10
gradual_transition,340,426.75,117.7,2.674,0.624,10
gradual_transition,350,480.01,91.58,2.855,0.495,10
gradual_transition,360,482.03,97.37,2.886,0.5,10
gradual_transition,370,455.68,106.41,2.756,0.584,10
gradual_transition,380,610.62,165.17,3.6,0.85,10
gradual_transition,390,596.22,177.78,3.429,0.929,10
gradual_transition,400,511.75,105.56,3.034,0.567,10
gradual_transition,410,666.81,158.63,3.942,0.872,10
gradual_transition,420,745.85,150.99,4.162,0.79,10
gradual_transition,430,754.66,182.63,4.388,1.059,10
gradual_transition,440,1087.76,163.93,5.771,0.85,10
gradual_transition,450,899.65,163.3,4.856,0.925,10
gradual_transition,460,1202.65,185.85,6.229,1.054,10
gradual_transition,470,1192.75,180.17,6.467,1.102,10
gradual_transition,480,1242.71,195.04,6.65,1.13,10
gradual_transition,490,1255.49,207.14,6.787,1.132,10
staged_evolution,0,-377.65,10.67,-0.24,0.072,10
staged_evolution,10,-336.03,13.42,-0.182,0.057,10
